date,channel,platform,campaign_id,campaign,objective,ad_group,creative_id,device,region,status,budget_daily,currency,impressions,clicks,conversions,revenue
2025-01-01,email,email,1,Empresarial,conversions,Black Friday,cr_5073,mobile,BA,active,633.5,BRL,1198,277,10,10298.43
2025-01-01,email,email,4,Apartamento,conversions,Lançamento,cr_5561,desktop,SE,active,824.5,BRL,1167,228,4,5625.65
2025-01-01,email,email,2,Condominio,conversions,IPTU 0,cr_6847,mobile,AL,active,719.03,BRL,1419,380,17,10618.16
2025-01-01,email,email,5,Casa,awareness,Promo Janeiro,cr_1513,desktop,PE,active,1105.75,BRL,1253,301,14,14267.79
2025-01-01,email,email,1,Empresarial,conversions,IPTU 0,cr_7331,desktop,SE,active,1521.93,BRL,943,190,10,6431.19
2025-01-01,email,email,2,Condominio,conversions,Remarketing,cr_9252,desktop,BA,active,849.65,BRL,999,240,8,5066.51
2025-01-01,email,email,3,Office,traffic,Lançamento,cr_9395,mobile,RN,active,435.04,BRL,426,107,3,2179.79
2025-01-01,email,email,5,Casa,awareness,IPTU 0,cr_7364,mobile,PE,active,1365.79,BRL,403,49,2,1690.98
2025-01-01,email,email,2,Condominio,conversions,Promo Janeiro,cr_4221,mobile,SE,active,564.81,BRL,292,80,1,1495.11
2025-01-01,email,email,5,Casa,awareness,IPTU 0,cr_5410,desktop,CE,active,1795.35,BRL,1431,309,12,10854.59
2025-01-02,email,email,5,Casa,awareness,Remarketing,cr_1708,desktop,CE,active,1679.82,BRL,813,217,9,8237.88
2025-01-02,email,email,2,Condominio,conversions,Promo Janeiro,cr_6950,mobile,BA,active,894.21,BRL,1301,340,9,11176.45
2025-01-02,email,email,5,Casa,awareness,Lançamento,cr_1020,mobile,CE,active,1271.72,BRL,944,250,6,4995.38
2025-01-02,email,email,5,Casa,awareness,Promo Janeiro,cr_9855,mobile,SE,active,1851.76,BRL,1332,151,4,3348.48
2025-01-02,email,email,1,Empresarial,conversions,Remarketing,cr_8077,desktop,BA,active,706.37,BRL,1237,215,10,13869.21
2025-01-02,email,email,1,Empresarial,conversions,Promo Janeiro,cr_9439,desktop,CE,active,396.03,BRL,761,89,4,3082.88
2025-01-02,email,email,4,Apartamento,conversions,Remarketing,cr_8413,mobile,CE,active,503.01,BRL,997,246,6,6687.82
2025-01-02,email,email,2,Condominio,conversions,Black Friday,cr_9838,desktop,RN,active,749.35,BRL,200,49,1,1078.04
2025-01-02,email,email,1,Empresarial,conversions,Promo Janeiro,cr_5882,mobile,CE,active,1799.94,BRL,828,128,4,4099.08
2025-01-02,email,email,1,Empresarial,conversions,IPTU 0,cr_8885,desktop,BA,active,1865.92,BRL,1088,218,6,5110.07
2025-01-03,email,email,2,Condominio,conversions,Black Friday,cr_1812,mobile,AL,active,1570.31,BRL,597,156,8,11139.8
2025-01-03,email,email,3,Office,traffic,IPTU 0,cr_4425,desktop,PE,active,1308.4,BRL,464,88,4,4929.08
2025-01-03,email,email,4,Apartamento,conversions,Lançamento,cr_6749,desktop,PE,active,299.72,BRL,981,260,12,7665.56
2025-01-03,email,email,3,Office,traffic,Remarketing,cr_4468,desktop,PE,active,478.67,BRL,1167,124,3,2976.22
2025-01-03,email,email,3,Office,traffic,Black Friday,cr_5072,desktop,BA,active,1425.71,BRL,837,183,6,3752.75
2025-01-03,email,email,2,Condominio,conversions,Lançamento,cr_7219,desktop,RN,active,1561.23,BRL,773,125,3,1931.21
2025-01-03,email,email,3,Office,traffic,Black Friday,cr_8984,desktop,PE,active,1458.96,BRL,488,125,5,4304.03
