date,channel,platform,campaign_id,campaign,objective,ad_group,creative_id,device,region,status,budget_daily,currency,impressions,clicks,conversions,revenue
2025-01-01,google_ads,google,1,Empresarial,conversions,Promo Janeiro,cr_2186,mobile,RN,active,811.83,BRL,1767,98,5,8513.66
2025-01-01,google_ads,google,5,Casa,awareness,Lançamento,cr_3405,mobile,PE,active,1167.72,BRL,2005,80,2,3763.58
2025-01-01,google_ads,google,4,Apartamento,conversions,Black Friday,cr_1521,mobile,RN,active,569.23,BRL,532,27,1,1172.52
2025-01-01,google_ads,google,3,Office,traffic,Lançamento,cr_4122,mobile,BA,active,196.93,BRL,3919,82,3,2504.54
2025-01-01,google_ads,google,4,Apartamento,conversions,Promo Janeiro,cr_3483,mobile,RN,active,1090.96,BRL,760,37,2,2747.42
2025-01-01,google_ads,google,4,Apartamento,conversions,IPTU 0,cr_6651,mobile,CE,active,1158.31,BRL,3418,97,7,9337.92
2025-01-01,google_ads,google,2,Condominio,conversions,Lançamento,cr_8789,desktop,CE,active,1964.44,BRL,2568,75,3,4559.72
2025-01-01,google_ads,google,1,Empresarial,conversions,IPTU 0,cr_6436,mobile,AL,active,1582.54,BRL,1536,83,4,3926.06
2025-01-01,google_ads,google,1,Empresarial,conversions,Lançamento,cr_8224,desktop,PE,active,152.3,BRL,739,44,2,1977.41
2025-01-01,google_ads,google,2,Condominio,conversions,Black Friday,cr_6593,mobile,RN,active,1186.24,BRL,1734,51,2,3387.99
2025-01-02,google_ads,google,2,Condominio,conversions,Remarketing,cr_7936,desktop,SE,active,935.1,BRL,3153,97,6,7896.45
2025-01-02,google_ads,google,4,Apartamento,conversions,Black Friday,cr_6526,desktop,SE,active,376.65,BRL,2354,79,4,6319.18
2025-01-02,google_ads,google,2,Condominio,conversions,Remarketing,cr_4865,mobile,AL,active,463.46,BRL,1236,50,2,2627.1
2025-01-02,google_ads,google,1,Empresarial,conversions,Lançamento,cr_4826,desktop,RN,active,545.68,BRL,3218,67,4,3347.79
2025-01-02,google_ads,google,2,Condominio,conversions,Black Friday,cr_4410,mobile,CE,active,1107.96,BRL,3687,76,4,7717.0
2025-01-02,google_ads,google,5,Casa,awareness,Promo Janeiro,cr_8670,mobile,RN,active,796.27,BRL,1707,77,3,3687.08
2025-01-02,google_ads,google,2,Condominio,conversions,Lançamento,cr_5905,mobile,BA,active,262.38,BRL,664,30,2,2602.2
2025-01-02,google_ads,google,4,Apartamento,conversions,Promo Janeiro,cr_6796,desktop,PE,active,1170.19,BRL,1569,33,1,1124.22
2025-01-02,google_ads,google,5,Casa,awareness,IPTU 0,cr_5829,desktop,RN,active,1807.83,BRL,3313,164,7,10725.79
2025-01-02,google_ads,google,5,Casa,awareness,Promo Janeiro,cr_6565,mobile,SE,active,987.98,BRL,3882,115,7,10040.74
2025-01-03,google_ads,google,5,Casa,awareness,IPTU 0,cr_9326,mobile,CE,active,455.54,BRL,3874,82,6,6356.71
2025-01-03,google_ads,google,3,Office,traffic,Remarketing,cr_3989,desktop,PE,active,936.3,BRL,2398,78,5,8676.05
2025-01-03,google_ads,google,3,Office,traffic,Black Friday,cr_3338,desktop,PE,active,1902.61,BRL,3680,121,6,5113.41
2025-01-03,google_ads,google,5,Casa,awareness,IPTU 0,cr_8251,desktop,RN,active,1128.09,BRL,2896,140,10,15317.78
2025-01-03,google_ads,google,2,Condominio,conversions,Promo Janeiro,cr_4147,mobile,AL,active,1261.98,BRL,1866,54,4,5326.4
2025-01-03,google_ads,google,1,Empresarial,conversions,IPTU 0,cr_5389,desktop,BA,active,1958.37,BRL,511,18,1,1910.42
2025-01-03,google_ads,google,3,Office,traffic,Lançamento,cr_9606,desktop,RN,active,1433.26,BRL,1124,67,4,3400.77
2025-01-03,google_ads,google,3,Office,traffic,Black Friday,cr_3685,desktop,AL,active,664.52,BRL,1857,94,7,6473.28
2025-01-03,google_ads,google,3,Office,traffic,Promo Janeiro,cr_4098,mobile,PE,active,1078.75,BRL,756,15,0,0.0
2025-01-03,google_ads,google,3,Office,traffic,Remarketing,cr_2258,desktop,RN,active,294.35,BRL,2585,74,3,4224.16
2025-01-04,google_ads,google,2,Condominio,conversions,Lançamento,cr_3550,mobile,PE,active,373.91,BRL,3567,190,13,10902.06
2025-01-04,google_ads,google,2,Condominio,conversions,Promo Janeiro,cr_8240,mobile,BA,active,1624.74,BRL,896,31,1,1591.81
2025-01-04,google_ads,google,1,Empresarial,conversions,Black Friday,cr_8552,desktop,CE,active,360.53,BRL,3451,178,9,12435.41
2025-01-04,google_ads,google,5,Casa,awareness,Remarketing,cr_3827,desktop,AL,active,174.31,BRL,2195,114,4,3749.88
2025-01-04,google_ads,google,4,Apartamento,conversions,IPTU 0,cr_6068,mobile,RN,active,871.72,BRL,1729,39,2,3564.02
2025-01-04,google_ads,google,4,Apartamento,conversions,Black Friday,cr_1878,desktop,BA,active,734.33,BRL,796,28,2,2555.09
2025-01-04,google_ads,google,4,Apartamento,conversions,IPTU 0,cr_2992,mobile,SE,active,1869.83,BRL,1951,105,5,7941.81
2025-01-04,google_ads,google,2,Condominio,conversions,Promo Janeiro,cr_4639,desktop,PE,active,195.45,BRL,2237,67,2,3073.48
2025-01-04,google_ads,google,3,Office,traffic,IPTU 0,cr_1231,mobile,RN,active,1476.86,BRL,945,49,3,4384.29
